,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,std,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amin,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,amax,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,median,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size,size
AD3830770CCDD0AD3830021B,,,,,,,-72.5,-72.0,,,,,,,,,,,,,,,,,,-63.0,-70.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72.5,-72.0,,,,,,,,,,,,,,,,,,-63.0,-70.5,,,,,,,,,,,,,-72.5,-72.0,,,,,,,,,,,,,,,,,,-63.0,-70.5,,,,,,,,,,,,,-72.5,-72.0,,,,,,,,,,,,,,,,,,-63.0,-70.5,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
AD3830770CCDD0AD3830021C,,,,,,,,,,,,,,,,,,-74.0,-74.0,,-74.0,,-74.0,,-73.0,-73.5,,-73.5,,-74.25,-74.0,,-75.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.3535533905932738,0.7071067811865476,,,,,,,,,,,,,,,,,,,,-74.0,-74.0,,-74.0,,-74.0,,-73.0,-73.5,,-73.5,,-74.5,-74.5,,-75.0,,,,,,,,,,,,,,,,,,-74.0,-74.0,,-74.0,,-74.0,,-73.0,-73.5,,-73.5,,-74.0,-73.5,,-75.0,,,,,,,,,,,,,,,,,,-74.0,-74.0,,-74.0,,-74.0,,-73.0,-73.5,,-73.5,,-74.25,-74.0,,-75.0,,,,,,,,,,,,,,,,,,2.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,2.0,2.0,,1.0
AD3830770CCDD0AD3830021D,,,,,,,-75.5,,-69.5,,-71.5,,,,,,,,,,,,,,,,-63.0,-74.0,,,,,,,,,,,,,1.4142135623730951,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.5,,-70.5,,-71.5,,,,,,,,,,,,,,,,-63.0,-74.0,,,,,,,,,,,,-75.5,,-68.5,,-71.5,,,,,,,,,,,,,,,,-63.0,-74.0,,,,,,,,,,,,-75.5,,-69.5,,-71.5,,,,,,,,,,,,,,,,-63.0,-74.0,,,,,,,,,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,
AD3830770CCDD0AD38300220,,,,,,,,-69.5,,,,-76.5,,,,,,,,,,,,,,-54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-69.5,,,,-76.5,,,,,,,,,,,,,,-54.0,,,,,,,,,,,,,,,-69.5,,,,-76.5,,,,,,,,,,,,,,-54.0,,,,,,,,,,,,,,,-69.5,,,,-76.5,,,,,,,,,,,,,,-54.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,
AD3830770CCDD0AD38300221,,,,,,,,,-67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
AD3830770CCDD0AD38300246,,,,,,,,-70.0,,,,,,,,,,,,,,,,,,-63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-70.0,,,,,,,,,,,,,,,,,,-63.0,,,,,,,,,,,,,,,-70.0,,,,,,,,,,,,,,,,,,-63.0,,,,,,,,,,,,,,,-70.0,,,,,,,,,,,,,,,,,,-63.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,
AD3830770CCDD0AD3830024F,,,,,,,,,-65.5,,,,,,,,,,,,,,,,,,-72.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-65.5,,,,,,,,,,,,,,,,,,-72.5,,,,,,,,,,,,,,,-65.5,,,,,,,,,,,,,,,,,,-72.5,,,,,,,,,,,,,,,-65.5,,,,,,,,,,,,,,,,,,-72.5,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,
AD3830770CCDD0AD38300254,,,,,,,,-72.0,,,,,,,,,,,,,,,,,,-57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72.0,,,,,,,,,,,,,,,,,,-57.0,,,,,,,,,,,,,,,-72.0,,,,,,,,,,,,,,,,,,-57.0,,,,,,,,,,,,,,,-72.0,,,,,,,,,,,,,,,,,,-57.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,
AD3830770CCDD0AD3830025D,,,,,,,,,-71.5,-66.0,,,,,,,,,,,,,,,,,,-71.5,-73.5,-74.5,,-72.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.7071067811865476,,,,,,,,,,,,-71.5,-66.0,,,,,,,,,,,,,,,,,,-71.5,-73.5,-75.0,,-72.5,,,,,,,,,,-71.5,-66.0,,,,,,,,,,,,,,,,,,-71.5,-73.5,-74.0,,-72.5,,,,,,,,,,-71.5,-66.0,,,,,,,,,,,,,,,,,,-71.5,-73.5,-74.5,,-72.5,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,1.0,
AD3830770CCDD0AD38300262,,,,,,,,,-62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
AD3830770CCDD0AD3830026D,,-77.0,,,,,-76.5,,-75.5,,-77.0,,-76.5,-76.5,,-76.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.0,,,,,-76.5,,-75.5,,-77.0,,-76.5,-76.5,,-76.5,,,,,,,,,,,,,,,,,,,-77.0,,,,,-76.5,,-75.5,,-77.0,,-76.5,-76.5,,-76.5,,,,,,,,,,,,,,,,,,,-77.0,,,,,-76.5,,-75.5,,-77.0,,-76.5,-76.5,,-76.5,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,
AD3830770CCDD0AD38300275,,,,,,,,,-69.0,,,,,,,,,,,,,,,,,,-60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-69.0,,,,,,,,,,,,,,,,,,-60.0,,,,,,,,,,,,,,,-69.0,,,,,,,,,,,,,,,,,,-60.0,,,,,,,,,,,,,,,-69.0,,,,,,,,,,,,,,,,,,-60.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,
AD3830770CCDD0AD3830027B,-68.5,,-68.0,-67.5,,-67.0,,-71.5,-68.0,,-67.5,,-67.5,,-68.0,,-67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68.5,,-68.0,-67.5,,-67.0,,-71.5,-68.0,,-67.5,,-67.5,,-68.0,,-67.5,,,,,,,,,,,,,,,,,-68.5,,-68.0,-67.5,,-67.0,,-71.5,-68.0,,-67.5,,-67.5,,-68.0,,-67.5,,,,,,,,,,,,,,,,,-68.5,,-68.0,-67.5,,-67.0,,-71.5,-68.0,,-67.5,,-67.5,,-68.0,,-67.5,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,
AD3830770CCDD0AD3830027D,,-73.5,,-73.5,-73.75,,,-72.25,,,,,,,,,,,,,,,,,,-62.0,-65.0,,-74.5,-74.5,-74.5,,-74.0,,,,0.3535533905932738,,,4.596194077712559,,,,,,,,,,,,,,,,,,,,,0.0,,-73.5,,-73.5,-74.0,,,-75.5,,,,,,,,,,,,,,,,,,-62.0,-65.0,,-74.5,-74.5,-74.5,,-74.0,,-73.5,,-73.5,-73.5,,,-69.0,,,,,,,,,,,,,,,,,,-62.0,-65.0,,-74.5,-74.5,-74.5,,-74.0,,-73.5,,-73.5,-73.75,,,-72.25,,,,,,,,,,,,,,,,,,-62.0,-65.0,,-74.5,-74.5,-74.5,,-74.0,,1.0,,1.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,2.0
AD3830770CCDD0AD3830027F,-70.5,,-70.0,-70.0,,-70.0,-71.0,,-70.75,-71.5,,-70.75,,-71.0,-72.5,,-72.0,,,,,,,,,,,,,,,,,,,,,,,,0.3535533905932738,,,0.3535533905932738,,,,,,,,,,,,,,,,,,-70.5,,-70.0,-70.0,,-70.0,-71.0,,-71.0,-71.5,,-71.0,,-71.0,-72.5,,-72.0,,,,,,,,,,,,,,,,,-70.5,,-70.0,-70.0,,-70.0,-71.0,,-70.5,-71.5,,-70.5,,-71.0,-72.5,,-72.0,,,,,,,,,,,,,,,,,-70.5,,-70.0,-70.0,,-70.0,-71.0,,-70.75,-71.5,,-70.75,,-71.0,-72.5,,-72.0,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,2.0,1.0,,2.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
AD3830770CCDD0AD38300280,,,,,,,-72.5,,-72.0,-68.5,,,,,,,,,,,,,,,-75.5,,-72.5,-67.0,,,-75.66666666666667,-75.75,-75.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.7637626158259737,1.0606601717798212,0.0,,,,,,,-72.5,,-72.0,-68.5,,,,,,,,,,,,,,,-75.5,,-72.5,-67.0,,,-76.5,-76.5,-75.5,,,,,,,-72.5,,-72.0,-68.5,,,,,,,,,,,,,,,-75.5,,-72.5,-67.0,,,-75.0,-75.0,-75.5,,,,,,,-72.5,,-72.0,-68.5,,,,,,,,,,,,,,,-75.5,,-72.5,-67.0,,,-75.5,-75.75,-75.5,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,3.0,2.0,2.0
AD3830770CCDD0AD38300284,,,,,,,,,-66.0,,,,,,,,,,,,,,,,,,-72.0,-74.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4142135623730951,,,,,,,,,,,,,,-66.0,,,,,,,,,,,,,,,,,,-73.0,-74.5,,,,,,,,,,,,,,-66.0,,,,,,,,,,,,,,,,,,-71.0,-74.5,,,,,,,,,,,,,,-66.0,,,,,,,,,,,,,,,,,,-72.0,-74.5,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,
AD3830770CCDD0AD38300285,,-77.5,,-77.5,,-77.0,,,,-77.5,-76.5,,-77.25,,-76.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3535533905932738,,0.3535533905932738,,,,,,,,,,,,,,,,-77.5,,-77.5,,-77.0,,,,-77.5,-76.5,,-77.5,,-77.0,,,,,,,,,,,,,,,,,,,,-77.5,,-77.5,,-77.0,,,,-77.5,-76.5,,-77.0,,-76.5,,,,,,,,,,,,,,,,,,,,-77.5,,-77.5,,-77.0,,,,-77.5,-76.5,,-77.25,,-76.75,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,1.0,1.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,
AD3830770CCDD0AD38300286,,,,,,,,,-67.0,,,,,,,,,,,,,,,,,-64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-67.0,,,,,,,,,,,,,,,,,-64.0,,,,,,,,,,,,,,,,-67.0,,,,,,,,,,,,,,,,,-64.0,,,,,,,,,,,,,,,,-67.0,,,,,,,,,,,,,,,,,-64.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,
AD3830770CCDD0AD3830028A,,,,,,,,-74.5,-69.5,,,,,,,-76.0,,,,,,,,,,,,-76.0,-75.5,,,-75.0,-74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.5,-69.5,,,,,,,-76.0,,,,,,,,,,,,-76.0,-75.5,,,-75.0,-74.0,,,,,,,,-74.5,-69.5,,,,,,,-76.0,,,,,,,,,,,,-76.0,-75.5,,,-75.0,-74.0,,,,,,,,-74.5,-69.5,,,,,,,-76.0,,,,,,,,,,,,-76.0,-75.5,,,-75.0,-74.0,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,1.0,1.0
AD3830770CCDD0AD38300290,,,,,,,,,-70.0,,,,,,,,,,,,,,,,,,-67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-70.0,,,,,,,,,,,,,,,,,,-67.0,,,,,,,,,,,,,,,-70.0,,,,,,,,,,,,,,,,,,-67.0,,,,,,,,,,,,,,,-70.0,,,,,,,,,,,,,,,,,,-67.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,
AD3830770CCDD0AD38300293,,,-75.0,,-75.0,,,-67.5,,,,,,,,,,,,,,,,,,-58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.0,,-75.0,,,-67.5,,,,,,,,,,,,,,,,,,-58.0,,,,,,,,,,-75.0,,-75.0,,,-67.5,,,,,,,,,,,,,,,,,,-58.0,,,,,,,,,,-75.0,,-75.0,,,-67.5,,,,,,,,,,,,,,,,,,-58.0,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,
AD3830770CCDD0AD3830029C,-74.0,,,-77.0,,-73.5,,,,-75.5,,,,,,,-76.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.0,,,-77.0,,-73.5,,,,-75.5,,,,,,,-76.5,,,,,,,,,,,,,,,,,-74.0,,,-77.0,,-73.5,,,,-75.5,,,,,,,-76.5,,,,,,,,,,,,,,,,,-74.0,,,-77.0,,-73.5,,,,-75.5,,,,,,,-76.5,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,
AD3830770CCDD0AD3830029F,,,,,,,,,-65.0,,,,,,,,,,,,,,,,,-64.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-65.0,,,,,,,,,,,,,,,,,-64.5,,,,,,,,,,,,,,,,-65.0,,,,,,,,,,,,,,,,,-64.5,,,,,,,,,,,,,,,,-65.0,,,,,,,,,,,,,,,,,-64.5,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,
AD3830770CCDD0AD383002AA,,-74.0,,-74.5,,-74.5,,-74.25,,,-74.5,,-74.5,-74.0,-74.0,,-74.0,,,,,,,,-75.0,,,,,,,,,,,,,,,1.0606601717798212,,,,,,,,,,,,,,,,,,,,,,,-74.0,,-74.5,,-74.5,,-75.0,,,-74.5,,-74.5,-74.0,-74.0,,-74.0,,,,,,,,-75.0,,,,,,,,,,-74.0,,-74.5,,-74.5,,-73.5,,,-74.5,,-74.5,-74.0,-74.0,,-74.0,,,,,,,,-75.0,,,,,,,,,,-74.0,,-74.5,,-74.5,,-74.25,,,-74.5,,-74.5,-74.0,-74.0,,-74.0,,,,,,,,-75.0,,,,,,,,,,1.0,,1.0,,1.0,,2.0,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,
AD3830770CCDD0AD383002B9,,,,,,,-73.0,,-70.5,-72.0,,,,,,,,,,,,,,,,,,-70.0,,,,,,,,,,,3.5355339059327378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.5,,-70.5,-72.0,,,,,,,,,,,,,,,,,,-70.0,,,,,,,,,,,,-70.5,,-70.5,-72.0,,,,,,,,,,,,,,,,,,-70.0,,,,,,,,,,,,-73.0,,-70.5,-72.0,,,,,,,,,,,,,,,,,,-70.0,,,,,,,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,
AD3830770CCDD0AD383002BE,,,,,,,,,,,,,,,,,,,,,,,,,-75.0,-55.0,,-75.0,,-74.5,,-73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75.0,-55.0,,-75.0,,-74.5,,-73.0,,,,,,,,,,,,,,,,,,,,,,,,,,-75.0,-55.0,,-75.0,,-74.5,,-73.0,,,,,,,,,,,,,,,,,,,,,,,,,,-75.0,-55.0,,-75.0,,-74.5,,-73.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,1.0,
AD3830770CCDD0AD383002C0,,,,,,,,,-70.5,,,,,,,,,,,,,,,,,,-68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-70.5,,,,,,,,,,,,,,,,,,-68.0,,,,,,,,,,,,,,,-70.5,,,,,,,,,,,,,,,,,,-68.0,,,,,,,,,,,,,,,-70.5,,,,,,,,,,,,,,,,,,-68.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,
AD3830770CCDD0AD383002CC,,-76.0,,,,,,,,,,,,,,,,,,,,,,,,-76.5,,,,,,,,,0.7071067811865476,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76.5,,,,,,,,,,,,,,,,,,,,,,,,-76.5,,,,,,,,,-75.5,,,,,,,,,,,,,,,,,,,,,,,,-76.5,,,,,,,,,-76.0,,,,,,,,,,,,,,,,,,,,,,,,-76.5,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
AD3830770CCDD0AD383002D3,,,,,,,,,-66.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4142135623730951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-65.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
AD3830770CCDD0AD383002D8,-71.0,,-72.0,,-72.5,-73.0,,-70.0,,-74.0,,-72.5,,-71.5,,-71.0,-72.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-71.0,,-72.0,,-72.5,-73.0,,-70.0,,-74.0,,-72.5,,-71.5,,-71.0,-72.5,,,,,,,,,,,,,,,,,-71.0,,-72.0,,-72.5,-73.0,,-70.0,,-74.0,,-72.5,,-71.5,,-71.0,-72.5,,,,,,,,,,,,,,,,,-71.0,,-72.0,,-72.5,-73.0,,-70.0,,-74.0,,-72.5,,-71.5,,-71.0,-72.5,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
AD3830770CCDD0AD383002DA,-69.5,,-69.0,,-69.0,-68.5,-69.0,,-71.0,-68.5,,-69.0,,-68.5,-67.5,,-69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-69.5,,-69.0,,-69.0,-68.5,-69.0,,-71.0,-68.5,,-69.0,,-68.5,-67.5,,-69.0,,,,,,,,,,,,,,,,,-69.5,,-69.0,,-69.0,-68.5,-69.0,,-71.0,-68.5,,-69.0,,-68.5,-67.5,,-69.0,,,,,,,,,,,,,,,,,-69.5,,-69.0,,-69.0,-68.5,-69.0,,-71.0,-68.5,,-69.0,,-68.5,-67.5,,-69.0,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
AD3830770CCDD0AD383002DB,,-75.5,,-73.5,,-76.5,,-76.0,-75.5,-74.0,-73.5,-74.0,,-74.0,-74.0,-75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,-75.5,,-73.5,,-76.5,,-76.0,-75.5,-74.0,-73.5,-74.0,,-74.0,-74.0,-75.0,,,,,,,,,,,,,,,,,,,-75.5,,-73.5,,-76.5,,-76.0,-75.5,-74.0,-73.5,-74.0,,-74.0,-74.0,-75.0,,,,,,,,,,,,,,,,,,,-75.5,,-73.5,,-76.5,,-76.0,-75.5,-74.0,-73.5,-74.0,,-74.0,-74.0,-75.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,
AD3830770CCDD0AD383002DC,,,,,,,,-69.5,,,,,,,,,,,,,,,,,,-55.5,,-76.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-69.5,,,,,,,,,,,,,,,,,,-55.5,,-76.5,,,,,,,,,,,,,-69.5,,,,,,,,,,,,,,,,,,-55.5,,-76.5,,,,,,,,,,,,,-69.5,,,,,,,,,,,,,,,,,,-55.5,,-76.5,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,
AD3830770CCDD0AD383002E7,,,,,,,,,,,,,,,,,,-73.5,-73.5,,-73.0,,-73.5,-74.0,-74.5,-75.0,,,-71.0,-75.5,,-74.0,-73.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.5,-73.5,,-73.0,,-73.5,-74.0,-74.5,-75.0,,,-71.0,-75.5,,-74.0,-73.5,,,,,,,,,,,,,,,,,,-73.5,-73.5,,-73.0,,-73.5,-74.0,-74.5,-75.0,,,-71.0,-75.5,,-74.0,-73.5,,,,,,,,,,,,,,,,,,-73.5,-73.5,,-73.0,,-73.5,-74.0,-74.5,-75.0,,,-71.0,-75.5,,-74.0,-73.5,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0
AD3830770CCDD0AD383002F1,,,,,,-77.5,,-77.5,,-78.0,,-78.5,,,-75.5,,-78.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77.5,,-77.5,,-78.0,,-78.5,,,-75.5,,-78.5,,,,,,,,,,,,,,,,,,,,,,-77.5,,-77.5,,-78.0,,-78.5,,,-75.5,,-78.5,,,,,,,,,,,,,,,,,,,,,,-77.5,,-77.5,,-78.0,,-78.5,,,-75.5,,-78.5,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,
